,기업명,기업코드
0,AJ네트웍스,095570
1,AK홀딩스,006840
2,BGF,027410
3,BNK금융지주,138930
4,BYC,001460
5,CJ,001040
6,CJ CGV,079160
7,CJ대한통운,000120
8,CJ씨푸드,011150
9,CJ제일제당,097950
10,CS홀딩스,000590
11,DB,012030
12,DB금융투자,016610
13,DB손해보험,005830
14,DB하이텍,000990
15,DGB금융지주,139130
16,DRB동일,004840
17,DSR,155660
18,DSR제강,069730
19,E1,017940
20,F&F,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
21,GKL,114090
22,GS,078930
23,GS건설,006360
24,GS글로벌,001250
25,GS리테일,007070
26,HDC,012630
27,HDC현대EP,089470
28,HSD엔진,082740
29,JB금융지주,175330
30,JW생명과학,234080
31,JW중외제약,001060
32,JW홀딩스,096760
33,KB금융,105560
34,KC그린홀딩스,009440
35,KC코트렐,119650
36,KEC,092220
37,KG케미칼,001390
38,KISCO홀딩스,001940
39,KPX케미칼,025000
40,KPX홀딩스,092230
41,KR모터스,000040
42,KSS해운,044450
43,KTcs,058850
44,LF,093050
45,LG,003550
46,LG디스플레이,034220
47,LG생활건강,051900
48,LG유플러스,032640
49,LG이노텍,011070
50,LG전자,066570
51,LG화학,051910
52,LIG넥스원,079550
53,LS,006260
54,LS네트웍스,000680
55,LS전선아시아,229640
56,MH에탄올,023150
57,NAVER,035420
58,NH투자증권,005940
59,NICE,034310
60,NI스틸,008260
61,OCI,010060
62,S-Oil,010950
63,SBS,034120
64,SG세계물산,004060
65,SH에너지화학,002360
66,SIMPAC,009160
67,SK,034730
68,SKC,011790
69,SK가스,018670
70,SK네트웍스,001740
71,SK디스커버리,006120
72,SK디앤디,210980
73,SK이노베이션,096770
74,SK증권,001510
75,SK텔레콤,017670
76,SK하이닉스,000660
77,SPC삼립,005610
78,STX,011810
79,STX엔진,077970
80,STX중공업,071970
81,WISCOM,024070
82,YG PLUS,037270
83,가온전선,000500
