,corp_code,corp_name,stock_code,account_nm,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,00159698,지역난방공사,071320,당기순이익,21459011218.0,27936391300.0,-25579850538.0,-226523717197.0,69878133316.0,126707327229.0,115819123373.0,66301834199.0,115759335250.0,-7724922213.0,92554775694.0
1,00458234,아시아나IDT,267850,당기순이익,26361899660.0,-8184362247.0,-8051798119.0,9617595408.0,19396577276.0,23898611784.0,,,,,
2,00164706,현대약품,004310,당기순이익,-3173176169.0,2187063541.0,1212848477.0,-2106347792.0,-1641756877.0,-1449265450.0,1593782281.0,1468256116.0,1459605689.0,-4847716910.0,542942235.0
3,01009789,코스맥스,192820,당기순이익,34336481889.0,-29053381423.0,18319679109.0,21062588320.0,15520150514.0,31440053248.0,18885577415.0,15756824739.0,,,
4,00102113,경인양행,012610,당기순이익,27210074941.0,-7581553453.0,16372879613.0,13801882002.0,4779248560.0,6837522077.0,3670894653.0,10148247311.0,10215710088.0,2886359689.0,8279011325.0
5,00168331,국동,005320,당기순이익,-7948938059.0,10672756379.0,-4523376158.0,2111761201.0,-8967738470.0,6208748572.0,5235608471.0,8898693644.0,4009322983.0,-7212194841.0,-1206306963.0
6,00153755,태양금속공업,004100,당기순이익,-12264951851.0,-9581031867.0,-23207596768.0,-5440408192.0,-4167313808.0,9605400906.0,3951906357.0,6708399871.0,1489562222.0,786265060.0,4386811632.0
7,00612294,피엔티,137400,당기순이익,52703180758.0,34413866106.0,-3016157727.0,740319768.0,2234114884.0,2895031048.0,-232629662.0,6143449695.0,3320331386.0,8902845826.0,
8,00129509,한익스프레스,014130,당기순이익,3915122397.0,-1905833208.0,5079130511.0,5436390104.0,6688151484.0,5413340819.0,7946440729.0,18350846144.0,5909867519.0,-6648640377.0,5648064453.0
9,00210856,코아스,071950,당기순이익,-5265753179.0,-1743013759.0,2120412769.0,-124421653.0,-556943261.0,-7708379626.0,-10870440773.0,589909103.0,-8080020756.0,1205263873.0,952500898.0
10,01108099,현대코퍼레이션홀딩스,227840,당기순이익,11955288419.0,17633689858.0,9708951655.0,3734854386.0,12026649196.0,6419811167.0,18175690161.0,,,,
11,00573579,평화산업,090080,당기순이익,205128216.0,-7790029844.0,-7210043920.0,-44077297673.0,-7925310184.0,1710962825.0,2873822445.0,-2237125088.0,1033333379.0,-1064770686.0,-61765726.0
12,00366137,KG ETS,151860,당기순이익,192610284609.0,26670326348.0,97780141929.0,11266355305.0,11723011234.0,4931071206.0,20236152862.0,16183985104.0,12407005986.0,,
13,00168401,금비,008870,당기순이익,5165946247.0,-3617827352.0,10620898553.0,10167339041.0,6646301144.0,13187314649.0,7665205452.0,3097739281.0,1899708094.0,2324776017.0,5926610968.0
14,00117629,동양철관,008970,당기순이익,-3773151787.0,7038970069.0,1779425684.0,-6577716239.0,-30607971171.0,-14652971830.0,2320313022.0,-12391523270.0,-8759983127.0,2605368657.0,4238105013.0
15,00138297,STX,011810,당기순이익,-23318000000.0,-9942000000.0,-33218000000.0,5024000000.0,334386000000.0,-457446000000.0,-48982000000.0,,,222363.0,229769.0
16,00123107,보락,002760,당기순이익,1694987553.0,394508500.0,648533674.0,1105109206.0,1238718533.0,3032427188.0,-172455635.0,2079543212.0,719938826.0,124894366.0,844924256.0
17,00141389,영풍정밀,036560,당기순이익,11755080055.0,13333112278.0,12579038665.0,11324024146.0,9153760586.0,7034223603.0,9101117783.0,9996314246.0,9200632367.0,17196914081.0,16237975499.0
18,00104999,윌비스,008600,당기순이익,-8532095509.0,-2449013445.0,-36493420169.0,-6621621763.0,652300029.0,3965833093.0,4191830037.0,5005775896.0,-3345094715.0,,
19,00133812,세방,004360,당기순이익,52433874833.0,32610547298.0,6741396183.0,43545337524.0,31413159514.0,42343073315.0,43385455280.0,38927780501.0,29352276642.0,54818241627.0,45285297432.0
20,00158219,시그네틱스,033170,당기순이익,16991615719.0,-37334949684.0,-22949225025.0,-6230357983.0,1615859918.0,-5873239644.0,-3708552240.0,-4542963561.0,9016461166.0,15231711548.0,14231996498.0
21,00115977,아이에스동서,010780,당기순이익,110673223436.0,141598300179.0,74262246007.0,243839058172.0,194968494180.0,214027634846.0,101281605407.0,50427361737.0,22553869069.0,15865871459.0,19512598138.0
22,00400857,에이블씨엔씨,078520,당기순이익,-43362048445.0,-97824483340.0,-9698632112.0,-11695786527.0,8789611873.0,18015173167.0,15527174219.0,2567387621.0,13176976661.0,28271445033.0,24558794903.0
23,00134477,SNT중공업,003570,당기순이익,58998656478.0,8341660356.0,16645498685.0,19818448007.0,-30924388941.0,-24435794182.0,32623127092.0,2593959366.0,22626749168.0,56600553707.0,52470705982.0
24,00142661,우성,006980,당기순이익,-5842439821.0,5715732453.0,11867930858.0,-4217562297.0,1046872500.0,804311403.0,-5522210815.0,4015014428.0,2983069033.0,13816786701.0,7081133143.0
25,00133991,세아특수강,019440,당기순이익,26765117383.0,-4255982408.0,10992894794.0,11067241237.0,23700203487.0,23667736445.0,19214189708.0,32164628406.0,33007144637.0,29175813344.0,31421854706.0
26,00152039,SG글로벌,001380,당기순이익,-5550659560.0,-2290624496.0,753300732.0,3250522428.0,349907744.0,-1323246551.0,-6835605183.0,-1488678766.0,2305262197.0,301923785.0,9818226651.0
27,00155531,풍산홀딩스,005810,당기순이익,173751309228.0,13088888902.0,24174967454.0,35462839623.0,67705336168.0,14306672370.0,13471122350.0,44936887894.0,35013792030.0,47374678563.0,51876814825.0
28,00608802,텔콘RF제약,200230,당기순이익,-23206847983.0,-42026505207.0,-54961722493.0,-15174104762.0,-20466467954.0,-6572696102.0,348205166.0,6741459069.0,7889194202.0,,
29,00172228,엔케이,085310,당기순이익,11161953014.0,-35681064.0,-26626482179.0,-26797452139.0,-6725238814.0,-33173584704.0,-5565352033.0,7879034550.0,-38913094978.0,-1053703310.0,-6382317289.0
30,00124090,한국특강,007280,당기순이익,36783792499.0,3615977205.0,-21521331258.0,-5715603310.0,11596251617.0,4061512249.0,-54716779979.0,-20181680400.0,-11047282852.0,3566489807.0,-8131835754.0
31,00855093,선진,136490,당기순이익,42407972940.0,85159813085.0,20262797014.0,18495997523.0,55644518349.0,32701630415.0,19089088270.0,23418808744.0,29285268401.0,,
32,00145686,이화산업,000760,당기순이익,59173837049.0,-3668520953.0,-4760001261.0,-1653685904.0,-2965909782.0,-117746996.0,-116540950.0,7285546955.0,-7297525267.0,-300224935.0,8019739098.0
33,00378628,KH바텍,060720,당기순이익,33108323624.0,-13806672570.0,-11583401436.0,-39098140325.0,-37703593710.0,-18503491421.0,19944588595.0,24927918842.0,57223313125.0,9989672603.0,13030612685.0
34,00176835,농우바이오,054050,당기순이익,6953223342.0,9456150360.0,6985733291.0,28648917159.0,9229014860.0,-7547887761.0,524757206.0,16177277755.0,14259109120.0,18282267169.0,14171649397.0
35,00148948,조비,001550,당기순이익,1851220426.0,3004723328.0,-127820028.0,328219755.0,1052115853.0,873515422.0,1476632504.0,-2255272850.0,1182982409.0,,
36,00549891,케어젠,214370,당기순이익,25184092612.0,31449220782.0,28019473514.0,16251788540.0,18229326873.0,11369732033.0,,,,,
37,00126478,삼성중공업,010140,당기순이익,-1452069565718.0,-1492699901584.0,-1315353147184.0,-388188868698.0,-340748297267.0,-138776906437.0,-1212110013347.0,147320208845.0,632205456990.0,851115094318.0,1000516911258.0
38,00134510,세종공업,033530,당기순이익,-10771840981.0,-21850776814.0,1918380843.0,-19354678386.0,-7572689908.0,13821381337.0,19812036261.0,22617859481.0,46464704161.0,42056791001.0,50511711557.0
39,00823429,한국화장품,123690,당기순이익,-7281617879.0,-7653392096.0,-17224383050.0,-7746017399.0,4028515866.0,14617693967.0,-9060582270.0,26331755274.0,-16176045784.0,-16414178145.0,-17167650383.0
40,00138729,아세아제지,002310,당기순이익,90996794516.0,54245095687.0,61440520886.0,78682472379.0,5007146150.0,20732838768.0,-38672436993.0,18590160980.0,19238890411.0,3660248772.0,-7996501488.0
41,00132211,SUN&L,002820,당기순이익,-35296250239.0,-10471826839.0,-39963078123.0,-9193105191.0,-9446322872.0,8033547412.0,4986427635.0,-1736816509.0,2492361452.0,5936619895.0,3502824858.0
42,00160375,진양폴리우레탄,010640,당기순이익,3802118983.0,1612417166.0,7552693845.0,957732274.0,536000245.0,7005136807.0,-3790922794.0,550522694.0,1272127560.0,1531724199.0,1868584894.0
43,00121941,대상,001680,당기순이익,144949591853.0,127010738544.0,108874638558.0,57941061286.0,51771863554.0,60063308249.0,47195417860.0,90020443186.0,105760974827.0,54255801559.0,31365751247.0
