,corp_code,corp_name,stock_code,account_nm,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,00159698,지역난방공사,071320,부채총계,4694183620876.0,4269404295023,4363220622032.0,4097846102644.0,3891858355767.0,3328801684726.0,3122177786807.0,3108449783598.0,3407370521069.0,3369290806236.0,3201466248042.0
1,00458234,아시아나IDT,267850,부채총계,66556637647.0,74658633096,87216182448.0,60657709008.0,60969661691.0,68445173395.0,,,,,
2,00164706,현대약품,004310,부채총계,77257091879.0,67361025571,62990580318.0,57980303636.0,60606151492.0,52802437630.0,42105380007.0,42607776760.0,42190819586.0,50216104857.0,52632034560.0
3,01009789,코스맥스,192820,부채총계,946544204187.0,917142782625,887881614220.0,819694886005.0,705632343989.0,458601914455.0,342412375965.0,245167144885.0,,,
4,00102113,경인양행,012610,부채총계,327622550348.0,276720395053,234647862562.0,189237206800.0,147016537294.0,136005319053.0,125562133341.0,114800458424.0,127200482471.0,112463993107.0,143393957861.0
5,00168331,국동,005320,부채총계,66109970105.0,96865598332,68242500009.0,74659656782.0,63676354061.0,72400996875.0,62532442814.0,60632031002.0,57628398435.0,56385557873.0,62332735264.0
6,00153755,태양금속공업,004100,부채총계,355310135573.0,342830888290,322046143268.0,297852425330.0,273247610510.0,265230820807.0,269484427498.0,265064001203.0,272080977770.0,313879835399.0,246624907894.0
7,00612294,피엔티,137400,부채총계,398652931080.0,310531007761,428645887252.0,221239779313.0,181890134789.0,101157842118.0,48005006506.0,33399338068.0,24833502558.0,31720384935.0,29607282853.0
8,00129509,한익스프레스,014130,부채총계,301259496387.0,233096247589,203919184073.0,132610532568.0,125181382342.0,89547260017.0,78292140379.0,49249565343.0,57524401577.0,56061180092.0,66423581391.0
9,00210856,코아스,071950,부채총계,60259190280.0,49248699748,51994119523.0,55088038992.0,55405914565.0,52292498914.0,58640072554.0,60348294463.0,60691688670.0,61193525259.0,66096020775.0
10,01108099,현대코퍼레이션홀딩스,227840,부채총계,48800192249.0,39971352299,61945263683.0,20526680743.0,20171753178.0,22873716910.0,15510602632.0,,,,
11,00573579,평화산업,090080,부채총계,194125631930.0,177600642418,160686188136.0,156231062678.0,110135572419.0,106229907670.0,104673248265.0,104669777304.0,49785701340.0,52238800372.0,46975359549.0
12,00366137,KG ETS,151860,부채총계,1831557233163.0,1508236828519,190816360449.0,75893995298.0,59106990761.0,56522202175.0,56675192747.0,49668390843.0,66975902931.0,,
13,00168401,금비,008870,부채총계,176002340792.0,176524804360,96636403237.0,96639999158.0,96985485265.0,103925637040.0,92917065971.0,90438220990.0,81907113833.0,87911756030.0,87657509687.0
14,00117629,동양철관,008970,부채총계,101850823126.0,65870365715,84364295611.0,84573141731.0,97419318994.0,79237914580.0,89067825278.0,99293722293.0,117234082066.0,104082030046.0,94403627382.0
15,00138297,STX,011810,부채총계,553619000000.0,543156000000,503816000000.0,490033000000.0,584982000000.0,1038305000000.0,1194882000000.0,1161340000000.0,1852183000000.0,3560390.0,3318233.0
16,00123107,보락,002760,부채총계,10774060414.0,10107183294,11669629443.0,9552032987.0,8609397422.0,10390139683.0,9518956278.0,10362731373.0,10436584375.0,10900765913.0,9594390152.0
17,00141389,영풍정밀,036560,부채총계,58462307947.0,45326810621,50621091560.0,51436910441.0,58989645831.0,60667468926.0,61698966496.0,63586463787.0,59487684795.0,70759029250.0,67375325608.0
18,00104999,윌비스,008600,부채총계,183381461941.0,185657188601,179191426659.0,172760357239.0,176125149505.0,202293051425.0,170801751197.0,118392400191.0,121510028323.0,113524265590.0,124477420104.0
19,00133812,세방,004360,부채총계,348131642570.0,311208174882,289668541916.0,173462717316.0,177195242944.0,189312008212.0,201044062409.0,213913790935.0,254087369115.0,291414580373.0,325125263868.0
20,00158219,시그네틱스,033170,부채총계,58822120328.0,60374159529,46416597495.0,53068770905.0,65876086265.0,81501073595.0,55143960481.0,61051892404.0,68573456396.0,97806933349.0,101504390636.0
21,00115977,아이에스동서,010780,부채총계,2052891776603.0,2231460471973,1610218287783.0,1074869829010.0,1166143946933.0,1134773970493.0,1247942482078.0,762778781938.0,605642613843.0,707674218099.0,577283763797.0
22,00400857,에이블씨엔씨,078520,부채총계,79159922956.0,97975943568,176899982158.0,69265328179.0,67639507418.0,79749075370.0,63772508882.0,58732733150.0,70642897973.0,82858388760.0,74483115734.0
23,00134477,SNT중공업,003570,부채총계,226675590424.0,235915632066,224269462667.0,238166577254.0,233899733414.0,236978141343.0,244069810488.0,260125541487.0,263026288561.0,362099615575.0,411764234912.0
24,00142661,우성,006980,부채총계,172372494247.0,136104555814,162662574789.0,123018103840.0,85990459992.0,80364121181.0,90271166205.0,100597680654.0,99207459489.0,124005623567.0,116574218252.0
25,00133991,세아특수강,019440,부채총계,310772329491.0,237585636284,245777812488.0,174942949489.0,206043299267.0,210968844520.0,212920169386.0,255329085172.0,242153964945.0,268577428986.0,267208125094.0
26,00152039,SG글로벌,001380,부채총계,64041656329.0,72419539465,74001789767.0,72570150246.0,73297556826.0,92412693665.0,85043144696.0,76615424304.0,72872983521.0,66363664464.0,58068721438.0
27,00155531,풍산홀딩스,005810,부채총계,155681920444.0,247429908639,216306558844.0,165914670595.0,135290377851.0,119266505390.0,111754308582.0,119787626879.0,108936048041.0,99361069381.0,104022908711.0
28,00608802,텔콘RF제약,200230,부채총계,61422015679.0,93577124754,16361859270.0,26343023728.0,75146198802.0,36081676036.0,4162316067.0,4549708621.0,9689069272.0,,
29,00172228,엔케이,085310,부채총계,28011921563.0,50718430029,54434164311.0,82306157754.0,86735299517.0,119103851385.0,144188170394.0,161022239607.0,165043058719.0,261307686657.0,280122803587.0
30,00124090,한국특강,007280,부채총계,316723246212.0,250943536546,246071396778.0,247042182687.0,282308020540.0,296766911637.0,341206425362.0,412229695212.0,425787515541.0,433731359902.0,464254407661.0
31,00855093,선진,136490,부채총계,779837196813.0,735683840458,652036555841.0,586037999760.0,352023111956.0,348834726730.0,247551965974.0,215634639332.0,138097324976.0,,
32,00145686,이화산업,000760,부채총계,41277511301.0,108885682293,104824446318.0,104645608360.0,96039826554.0,89601635238.0,90494891280.0,85641445013.0,93590241429.0,67804292148.0,67244985949.0
33,00378628,KH바텍,060720,부채총계,165261250770.0,119670297346,98937817604.0,124237324878.0,111521944198.0,163744219857.0,173549583931.0,309893869184.0,198790869729.0,215937288056.0,170607131349.0
34,00176835,농우바이오,054050,부채총계,67331820192.0,65489946315,58109536780.0,35598311026.0,65238577639.0,53358178922.0,40703434969.0,35761581670.0,22092053616.0,14987276246.0,19562597617.0
35,00148948,조비,001550,부채총계,50521009807.0,36652318324,43723280752.0,45775103439.0,47051308630.0,51143477221.0,55338632185.0,54820893972.0,50654325114.0,66310371970.0,73456289509.0
36,00549891,케어젠,214370,부채총계,16965547103.0,11314026520,14970961506.0,14266470810.0,11425606293.0,10980927224.0,,,6097444922.0,,
37,00126478,삼성중공업,010140,부채총계,8041328855444.0,9203939004269,8351155863402.0,7536612429439.0,8020660443379.0,10942151906389.0,13035846228181.0,11549072786819.0,11581350720238.0,11352017511963.0,11769950268868.0
38,00134510,세종공업,033530,부채총계,777174141277.0,770626000365,614829951634.0,509643298783.0,519712285602.0,553081269848.0,521155871783.0,480131589173.0,341345837380.0,360669869627.0,362798583395.0
39,00823429,한국화장품,123690,부채총계,26536427499.0,45859374905,46114503703.0,42242933148.0,40085750137.0,43607503021.0,31418808297.0,40788510274.0,85008411479.0,73461770791.0,63615959504.0
40,00138729,아세아제지,002310,부채총계,255172404299.0,248826738134,263353496904.0,278850766025.0,306123213533.0,259817019935.0,214133385878.0,233321779317.0,246339295196.0,221643777716.0,237540176703.0
41,00132211,SUN&L,002820,부채총계,397875440889.0,325109521157,326752710109.0,370234851237.0,350240944671.0,295354758215.0,290639989574.0,255674068417.0,254663055457.0,188394116133.0,222494621735.0
42,00160375,진양폴리우레탄,010640,부채총계,18619836523.0,17883675068,16812694359.0,15980896202.0,17117489399.0,17202773639.0,8937898436.0,6277275830.0,7054506556.0,6727032870.0,7362050671.0
43,00121941,대상,001680,부채총계,1623307568831.0,1426785228478,1374881483464.0,1270279648421.0,1367990333347.0,1441190069977.0,1286057897235.0,1030343930756.0,1025912356595.0,995149594298.0,1018521291235.0
44,00124726,빙그레,005180,부채총계,202369499606.0,174607300847,113783206589.0,108852814244.0,106776945833.0,101995297760.0,99825437838.0,94840417664.0,96688487857.0,,
45,00260383,대한유화,006650,부채총계,449738749493.0,233430644306,247864385471.0,282816338799.0,497378335834.0,470579722974.0,493476468950.0,598303884369.0,564922950703.0,532395879692.0,502991840609.0
46,00181299,상아프론테크,089980,부채총계,137966529163.0,133328732305,104512905708.0,119838375154.0,110436943251.0,103574101915.0,88211963620.0,70479328689.0,63097496530.0,45545905497.0,40523882828.0
47,00103592,광동제약,009290,부채총계,356600480140.0,328461745965,345318812800.0,301218199947.0,306398535532.0,280100926464.0,286058762761.0,128132305516.0,134852988609.0,122163489486.0,72164733341.0
48,00173944,우진,105840,부채총계,70225425898.0,73838366291,67143964186.0,80001984352.0,53128300216.0,57924451880.0,67062621462.0,59831646428.0,30932632734.0,25427158339.0,22293338161.0
49,00406046,STX중공업,071970,부채총계,276445468016.0,293443429841,317544514598.0,400767376559.0,583314859134.0,1461297437652.0,1313108366845.0,1488676540731.0,1698333123024.0,685245686711.0,772301263542.0
50,00414850,효성 ITX,094280,부채총계,138085361213.0,112273681131,107614359480.0,73641931968.0,85065810535.0,69243924740.0,69568421409.0,63986322872.0,56895391910.0,43827291955.0,40165249497.0
51,00632304,JW홀딩스,096760,부채총계,760956330503.0,789222442962,891301821010.0,876732591747.0,976649665700.0,919038932867.0,812556923772.0,822989888174.0,778416998862.0,871669889319.0,848163133363.0
52,00148993,하이트진로홀딩스,000140,부채총계,,2844595889181,2854140489866.0,2893499586106.0,2924378121181.0,2763614524948.0,2957326315394.0,2923750012048.0,3023864400505.0,3093585313520.0,3352475144454.0
53,00413046,셀트리온,068270,부채총계,1623747845677.0,1592540899881,986733418125.0,907848812346.0,883598310539.0,822974206572.0,938389810418.0,974603694147.0,891376233855.0,682765147596.0,507766813976.0
54,00122551,백산,035150,부채총계,183147956688.0,168664435422,188355179866.0,156642322898.0,66806243782.0,63716322366.0,67008236081.0,70972376070.0,57125762122.0,68174565433.0,69910317018.0
55,00104786,미래아이앤지,007120,부채총계,28587955823.0,2854065391,2716719743.0,2436861227.0,3120271293.0,2877965269.0,2975551026.0,11025578042.0,15049727431.0,12191251420.0,17098149291.0
56,00113535,대한해운,005880,부채총계,2341620168689.0,2492265618065,2445671729223.0,2153447841253.0,1898735173502.0,1578446306399.0,948563996124.0,801814165853.0,818357274499.0,1590404381894.0,1617924419245.0
57,00171265,파라다이스,034230,부채총계,1957355763818.0,1879962245119,1866151021754.0,1524675674151.0,1141985104486.0,998353137328.0,707354139231.0,423704238791.0,340378453090.0,308666034311.0,181810364799.0
58,00134565,이스타코,015020,부채총계,31761979271.0,21867550161,30011584795.0,45937366578.0,48837070627.0,75070910811.0,63762493163.0,21838226299.0,40468378053.0,43793383624.0,35134343565.0
59,00128971,DL건설,001880,부채총계,711709962529.0,696525414351,393877294304.0,428472434911.0,449220991224.0,481081133268.0,523667268822.0,511834697009.0,565610438758.0,557543876378.0,521569670751.0
60,00187415,코미팜,041960,부채총계,42855825154.0,43811850764,49478644030.0,41916874470.0,41964047649.0,50542293805.0,57259368266.0,71238937743.0,64076821424.0,36412445705.0,24881314849.0
61,00648721,SNT에너지,100840,부채총계,87294231899.0,99578946528,88942324810.0,49715044087.0,66449367739.0,118242778178.0,84796156422.0,96799311809.0,113510608112.0,109495724212.0,115915975965.0
62,00292434,인트론바이오,048530,부채총계,52016232592.0,15156629886,24013463565.0,15650370016.0,15331792355.0,10456266469.0,5927991777.0,15011548325.0,5722508266.0,7715782258.0,10414322737.0
63,00144164,SK가스,018670,부채총계,3004172079944.0,2600204914605,2421595551264.0,2112825033442.0,2568305687438.0,2359619397619.0,2452408101688.0,1931793485583.0,1509553862441.0,1915600740967.0,1217479882194.0
64,00828789,대성산업,128820,부채총계,1191520576364.0,615662691860,645078322775.0,641403854791.0,710473986537.0,908361397381.0,955126843142.0,1856194535520.0,1825784750394.0,2038716861649.0,1716011333832.0
65,00300548,현대리바트,079430,부채총계,374591023346.0,322270196895,294855425403.0,231521676527.0,269113059088.0,142446712705.0,133465273011.0,126290889166.0,139721785142.0,,
66,00155355,풀무원,017810,부채총계,1379581562516.0,1180634649404,1021454494037.0,771253012977.0,727198945178.0,695146771467.0,645598327137.0,718874352185.0,709052994441.0,736350187509.0,637630865031.0
67,00127255,삼영화학공업,003720,부채총계,67128160214.0,63239099924,62659935033.0,58881796689.0,58221544841.0,60348498438.0,62589497676.0,66261709094.0,61869599044.0,71478675712.0,82952796381.0
68,00369170,인터플렉스,051370,부채총계,176992311644.0,157942130072,133561263393.0,123911707657.0,197267856704.0,178798824483.0,228987955052.0,269955414160.0,336211106188.0,574969564799.0,241534308827.0
69,00152686,코리아써키트,007810,부채총계,412634244757.0,355403556221,88409021075.0,112712773428.0,141131954600.0,129598503678.0,128220378756.0,145144840705.0,155149497567.0,175570963084.0,171324418787.0
70,00127158,씨아이테크,004920,부채총계,31715497061.0,42371691368,24817761142.0,21127082996.0,16206630816.0,5453984699.0,10894183469.0,9717539019.0,7011536432.0,565324950.0,2366032456.0
