,종목코드,종목명,2011_1분기,2011_2분기,2011_3분기,2011_4분기,2012_1분기,2012_2분기,2012_3분기,2012_4분기,2013_1분기,2013_2분기,2013_3분기,2013_4분기,2014_1분기,2014_2분기,2014_3분기,2014_4분기,2015_1분기,2015_2분기,2015_3분기,2015_4분기,2016_1분기,2016_2분기,2016_3분기,2016_4분기,2017_1분기,2017_2분기,2017_3분기,2017_4분기,2018_1분기,2018_2분기,2018_3분기,2018_4분기,2019_1분기,2019_2분기,2019_3분기,2019_4분기,2020_1분기,2020_2분기,2020_3분기,2020_4분기,2021_1분기,2021_2분기,2021_3분기,2021_4분기,2022_1분기
0,069110,3H,44215049280.0,47802652800.0,46311085735.38461,37237386092.30769,33413765760.0,27873659520.0,35799089280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,060310,3S,150083420141.42856,148011365048.57144,350379432535.38464,986757463388.4615,810518924750.0,681851939785.7142,424638026971.4286,278492584872.7273,362655999634.2857,238343504914.2857,229591497425.45456,190711314885.0,254992499742.85715,178640793634.2857,128971292395.71428,91581641875.0,138113635170.0,105180755048.57144,105689474335.0,93524024605.0,100594979280.0,146376016595.35715,133646604284.54546,112813567824.6154,100797894254.28572,99058965680.0,82883931786.42857,77704622972.5,95141987762.85716,132869371034.23076,126730051745.45454,97282467667.5,104931773127.14284,122595721564.64284,154948924899.16666,123365909024.58331,77580846747.85715,112598310681.07144,97342071015.0,99834928678.33331,109477762436.42856,145226448658.57144,178229455073.63635,151877343054.6154,151820139261.07144
2,900010,3노드디지탈,96934742453.57144,64036686198.57143,60254861576.92308,55313558440.46154,66667842811.42857,48465991185.28571,51621676231.85714,52606215572.0,72142227631.42857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,038120,AD모터스,46734737777.64286,62832267744.42857,50689381181.53846,39615722187.69231,25063640751.42857,24176964351.42857,19749167750.0,6412670940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,013340,AJS,75261569672.5,39046016612.57143,40853043857.07692,41581563167.30769,48180403720.35714,36327877692.57143,38886448152.42857,34144544405.454544,27385176348.0,29398631552.357143,29377520945.18182,23984340318.75,22699562928.0,22699562928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,054620,AP시스템,283390576528.5714,280159887471.4286,269982153207.69232,278846249676.9231,283487564035.7143,286311644100.0,220679255350.0,155861129390.9091,226346805155.0,268170752696.42856,244665349568.18185,225102796943.3333,202145013235.0,191794466192.85715,174972737074.2857,132480870959.16669,210204728379.2857,218381493328.57144,170190416470.0,261118606654.16663,471772067278.5714,441223042371.4286,577271802722.7273,731558385950.0,713237413850.0,,,,,,,,,,,,,,,,,,,,
6,004560,BNG스틸,189185225153.57144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,004565,BNG스틸우,1395120400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,038710,BRN사이언스,11997133588.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,048550,BT&I,45333200676.78571,30069084144.0,29026709516.53846,22578237995.384617,29276243003.142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
