종목코드,종목명,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
069110,코스온,43891543476.92308,41954325687.27273,74894210963.63637,139919190961.7262,460254588470.9821,272759136223.9136,200211113947.6786,235259144146.92993,145202931374.375,85128300817.26764,67799094096.42857,62963935800.0
060310,3S,408807920278.46155,548875369094.9676,255325579214.7565,163546556911.96426,110626972289.64285,123357791996.1295,90111353673.30357,113005969552.51062,126460582153.88391,96839039280.56548,146202752305.81293,151820139261.07144
900010,3노드디지탈,69134962167.38188,54840431450.14286,72142227631.42857,,,,,,,,,
038120,AD모터스,49968027222.82555,18850610948.214287,,,,,,,,,,
013340,AJS,49185548327.36401,39384818492.70292,27536417291.072243,22699562928.0,,,,,,,,
054620,APS홀딩스,278094716721.1539,236584898219.15585,241071426090.73596,175348271865.3274,214973811208.00595,555456324580.6819,265563141641.0714,114666607319.46,148331539523.2143,164921267153.33334,280384655311.702,242982575914.2857
004560,현대비앤지스틸,212703406403.50275,174606756518.5714,199624527530.95236,301713096111.756,179275843436.57736,170170897205.68683,187246520882.14285,169472475979.1552,141541118909.0774,114620539279.65887,282385570890.522,260271048439.2857
004565,현대비앤지스틸우,4509394420.87912,3191298682.142857,3129009090.9632034,3427872810.714286,3672604104.1666665,4368476445.379621,5108297817.261905,6737180543.4232435,6904100117.857142,7599550294.322344,9406849811.13886,7571156771.428572
038710,BRN사이언스,11997133588.5,,,,,,,,,,,
048550,SM C&C,31751808083.177193,173493682261.3458,190208011677.99918,245192343743.15472,198816536743.21426,162857036826.22876,195153120508.00592,248855770146.57196,155697592665.32736,136230677497.71063,328728185944.25574,484525626657.1429
001460,BYC,96121213001.37363,110732274472.4026,122147890986.20131,154283622946.4286,231116844866.07144,292568909410.9016,216968199732.14285,167173476718.1256,149552536116.0714,138228958276.0989,262886749097.46503,278221367142.8571
001465,BYC우,14891062094.093407,14782578844.967533,15251862899.756493,29235500924.107143,39206800781.25,43000278507.43007,35947500089.28571,29002739167.239014,27614792901.785713,26029420248.282967,37710704779.90759,38292376071.42857
032040,C&S자산관리,42532606806.44231,62943440544.82143,72509366439.80249,62965987800.0,153689475642.45535,112361177690.34528,49877947077.78274,34012733468.484848,,,,
001040,CJ,2216020986203.5713,2712284169833.4414,3487791438474.5674,4412907775308.035,7034657927602.679,5834686390615.01,5259674907321.428,4146138373552.9473,2981845777448.2144,2319230007529.8076,2832754949004.5454,2403976228071.4287
079160,CJ CGV,549092750943.95605,581159617859.9026,1022704793208.4822,1102296572975.8928,2169374675030.3572,1935701774685.2024,1511434185005.3572,1206000263325.9368,806110618088.8394,617687512850.8928,1044013068637.1378,1110016221382.1428
130960,CJ E&M,1424379131995.3296,1070595438561.039,1325222938356.0605,1625082027624.851,2890336031995.2383,2713014034511.676,3199708592882.738,3579515386678.8467,,,,
011150,CJ씨푸드,98381960711.47665,98890411660.07306,94628201485.18398,93385790016.19048,124527397335.2232,124043523160.99088,112661152615.1488,99522550376.19775,100584242350.99702,145512021683.64813,155105851407.02173,145673619677.14285
011155,CJ씨푸드1우,2112722527.4725277,1311600649.3506494,1265257034.6320348,1347613095.2380953,3645952380.952381,3285282217.782218,5217738095.238095,5687425283.050283,6496071428.571428,8188461538.461538,7845757992.007992,7675000000.0
035760,CJ ENM,1501348663010.8518,1460626116565.7468,2117562311873.4033,2049840442132.4404,1263477753486.3096,1080269058935.5894,1291159173394.0476,3213177914837.7705,4023238969503.5713,2647151116525.0,3344000188982.143,2847030736457.143
001045,CJ우,48533476637.019226,48259980622.15909,85678106924.24242,177700615779.16666,267234372052.08334,204920120846.41608,177775283860.41666,145543195201.51514,114186667765.625,100205496448.07692,134011974748.07692,112575249850.0
037150,CJ인터넷,502767849150.0,,,,,,,,,,,
097950,CJ제일제당,3502836869983.5166,4355754359515.422,3791601272924.783,4333635669187.5,5015078067095.238,4890285085341.408,4779138498130.952,5089031580768.669,4159458150562.5,4916752980432.692,6364826373534.965,5412517516500.0
097955,CJ제일제당 우,90977298180.21977,89230218653.89612,117094818727.48918,227147095391.36902,284775860781.25,259131066951.42358,211202096617.5595,174208286605.93576,159728511626.4881,183158554995.07785,257593528890.54697,217035295500.0
051500,CJ프레시웨이,214119876167.58243,299734061631.49347,352844109596.86145,381929529345.2381,761988121185.4166,564087125688.8112,440149650580.3572,375458562275.5224,350068691990.1786,199701792172.96246,366806879604.9576,426698719657.1429
023460,CNH,45904442307.69231,50395431818.181816,46243595779.22078,56923750000.0,63711642857.14286,54511425074.92508,54366250000.0,51738934190.80919,59098178571.42857,60217031593.40659,114714779970.02997,89771571428.57143
065770,CS,87405741758.24176,78835129870.12987,41681168831.16883,28587142857.14286,29164107142.857143,32335294614.716534,31694344149.55357,41648700148.18514,56280100883.92857,42859754663.576004,81973245873.17058,45331921096.42857
000590,CS홀딩스,45401641552.1978,39761034777.27273,41016612042.23485,83074600583.33333,94173776787.5,91538903729.8951,95065751570.83333,84385620520.01749,69995625187.5,62386801180.128204,74771609673.6014,80978666000.0
050470,CT&T,31264726742.990387,10331288019.0,,,,,,,,,,
056340,CU전자,23703653920.80769,26189182440.70779,16530137295.039505,8338236886.571428,,,,,,,,
068790,DMS,123071732797.95331,71201332784.97565,67648150874.549515,52336772251.20535,105255172234.24106,200225853599.10715,202437423804.4643,143347659872.70697,124404155022.05357,155423609513.37225,184684811371.1626,159022809042.85715
069730,DSR제강,53113846153.84616,48556870129.870125,44226019480.519485,51444214285.71429,54873428571.42857,76899065934.06593,113270142857.14285,74390559440.55945,70281857142.85715,57206917582.41758,95295938061.93805,73969714285.71428
009730,코센,10083339726.428572,31009204571.428574,39247148129.96753,41360240752.559525,51848969297.4256,67280819026.752625,51432986750.74406,61397820376.23231,105518638537.6488,25763113631.296703,26398999098.75,26398998420.0
017940,E1,355195817307.69226,400500943181.8182,485214704545.4545,475224458333.3333,456575875000.0,429933624125.87415,403323083333.3333,432424814393.9394,382540958333.3333,268702729166.6667,358378932692.3077,318451000000.0
037370,EG,271029704670.32965,405054788961.03894,189038453733.76624,160329241071.42856,104676339285.71428,86776030219.78023,71191517857.14285,76773326673.32668,76789508928.57143,60381524725.27473,105175398306.74326,103771051292.85716
080220,제주반도체,68846841607.37637,151877790858.0357,95779461306.51381,72234733690.8482,132589500054.6875,104329651324.76898,90305924041.25,129629033778.61722,103806749509.28572,99017422122.45421,200676619552.0542,187934858062.14285
079190,EMW,39742319925.0,41842904409.09091,67347854230.681816,59953442869.270836,52717755243.95833,82031502167.05856,79645041616.5625,105046907153.24738,88360067660.0,88360067660.0,78311371531.53847,45144911238.92857
007700,F&F홀딩스,111416884615.38461,99035500000.0,102139208333.33333,162042375000.0,267334375000.0,232632403846.15384,529248958333.3334,967479375000.0,1381966666666.6665,1367835544871.795,1301999733552.0542,1035273477989.2858
114090,GKL,1175045313550.8242,1565661397845.779,2165563492173.2954,2494394325739.5835,1967783501875.0,1486126113675.0122,1472450292096.726,1566094598664.8562,1291485638495.5356,859753453874.6565,975681662070.9915,909499262107.1428
078930,GS,6609563492853.021,5980718526482.792,5330396354585.931,4034145128299.1074,4397330877395.2383,4881307874863.475,5831158957544.047,5208999535729.712,4800821437037.5,3336952207030.5176,3954890619826.174,3815503629442.857
083450,GST,21121851648.351646,31575543891.623375,44567428759.88637,50538865006.78571,60048152189.73214,49464764280.5507,86845820421.42856,70724310304.81393,68321533270.98215,149989328353.43408,263199127250.78046,286919990678.5714
006360,GS건설,5349570741758.242,4048886688311.688,1897107548701.2986,2004389285714.2856,1849021726190.4763,1944142338911.0889,2068769580291.369,3288897056057.1616,2963998895221.4287,2113627631672.3901,3628353531987.0693,4002768546571.4287
001250,GS글로벌,288013385481.7033,294270472600.0,219080008859.7619,205181322231.5476,155338782336.3095,172035034774.24326,253896947867.0238,266849224577.07376,210387407339.2857,135137474753.3956,214370887915.56195,203740491702.85715
