,corp_code,corp_name,stock_code,account_nm,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,00159698,지역난방공사,071320,자본총계,1823178843481.0,1803734802363.0,1529393587950.0,1560152485901.0,1829732552856.0,1805003172243.0,1721654076831.0,1633131474140.0,1600531220454.0,1523131408143.0,1380336567547.0
1,00458234,아시아나IDT,267850,자본총계,155579343424.0,130243238389.0,141381030308.0,154556267837.0,137036945237.0,117464692566.0,,,,,
2,00164706,현대약품,004310,자본총계,86600324878.0,90140780227.0,83424337715.0,88126155211.0,82255328061.0,85020178810.0,104432391258.0,104686501340.0,101211908735.0,99686774992.0,104316355033.0
3,01009789,코스맥스,192820,자본총계,465384571575.0,271900115329.0,316472578756.0,241846270253.0,228386784631.0,207314509365.0,96519735582.0,80534412410.0,,,
4,00102113,경인양행,012610,자본총계,251869914750.0,228381755528.0,237433140599.0,223759382513.0,210934932782.0,208293196152.0,201125303678.0,198238666780.0,189744313794.0,174988685048.0,176292505960.0
5,00168331,국동,005320,자본총계,102364580802.0,83835083582.0,65481226182.0,48475044807.0,42630725459.0,51725722807.0,31226109619.0,28639367211.0,15412210330.0,9422729194.0,5829569542.0
6,00153755,태양금속공업,004100,자본총계,92373527769.0,99422753205.0,68071596156.0,95291669085.0,103821909988.0,107840523977.0,100651754239.0,99319980356.0,92377413681.0,90770116187.0,91792072675.0
7,00612294,피엔티,137400,자본총계,177706384078.0,124897119926.0,71685066431.0,69655151278.0,59026707942.0,52321988423.0,53804209049.0,54675547007.0,48018166970.0,46718725243.0,24067784882.0
8,00129509,한익스프레스,014130,자본총계,73515343118.0,68591721681.0,71439643810.0,67494307666.0,63033947172.0,57278112843.0,53365748848.0,45596713726.0,27855581179.0,21924912746.0,17007971756.0
9,00210856,코아스,071950,자본총계,19040055661.0,23987324741.0,25320219830.0,23446317861.0,23663703759.0,24636529170.0,30797970028.0,40679601982.0,37878258595.0,42229411869.0,39220961126.0
10,01108099,현대코퍼레이션홀딩스,227840,자본총계,202184598311.0,176947423276.0,179474082613.0,168272487745.0,178368813091.0,187431668420.0,192097947269.0,,,,
11,00573579,평화산업,090080,자본총계,25989805786.0,25554107357.0,33473565766.0,22137690188.0,68157032623.0,58838504795.0,59607410131.0,56534916666.0,18374348420.0,17546166069.0,19970496392.0
12,00366137,KG ETS,151860,자본총계,1235906148461.0,1050135046887.0,242393011667.0,150131063691.0,147132639668.0,138408551080.0,136947854882.0,119846454917.0,107431727548.0,,
13,00168401,금비,008870,자본총계,161870620641.0,157447656726.0,163543703883.0,156252159324.0,150022915338.0,146679334973.0,138920964982.0,130427077894.0,127930275492.0,127569591790.0,127461260803.0
14,00117629,동양철관,008970,자본총계,84147304711.0,87503710794.0,79827743646.0,79062374362.0,52971344103.0,80537110394.0,88419876665.0,86517597146.0,99476490227.0,108174231619.0,106027038463.0
15,00138297,STX,011810,자본총계,122530000000.0,107684000000.0,56291000000.0,64028000000.0,42560000000.0,-330596000000.0,72342000000.0,93662000000.0,-509663000000.0,1506639.0,1915942.0
16,00123107,보락,002760,자본총계,45543908799.0,44001945281.0,43946879257.0,43761387332.0,43218614090.0,42749439856.0,40009910053.0,41134483644.0,39251225686.0,38521322475.0,36861158978.0
17,00141389,영풍정밀,036560,자본총계,319849116514.0,281417444270.0,284400211334.0,284743532685.0,311667885684.0,300696152022.0,297359441022.0,284223408470.0,258075629025.0,260448466929.0,225168284993.0
18,00104999,윌비스,008600,자본총계,110692023636.0,99130411302.0,101854104854.0,132088337500.0,131805139506.0,139250660748.0,134209664758.0,126885534364.0,121214594362.0,122324354151.0,133869343318.0
19,00133812,세방,004360,자본총계,897156777368.0,853440202835.0,826283348479.0,822445893847.0,776628536856.0,750480726572.0,717355769031.0,676840796337.0,646563844655.0,611776758863.0,583502615604.0
20,00158219,시그네틱스,033170,자본총계,123493898202.0,106371749529.0,136462242591.0,147330820971.0,167650456855.0,163130903698.0,168205249379.0,174870383500.0,181856529771.0,188345606359.0,149239045724.0
