,corp_code,corp_name,stock_code,account_nm,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,00159698,지역난방공사,071320,자산총계,6517362464357.0,6073139097386,5892614209982.0,5657998588545.0,5721590908623.0,5133804856969.0,4843831863638.0,4741581257738.0,5007901741523.0,4892422214379.0,4581802815589.0
1,00458234,아시아나IDT,267850,자산총계,222135981071.0,204901871485,228597212756.0,215213976845.0,198006606928.0,185909865961.0,,,,,
2,00164706,현대약품,004310,자산총계,163857416757.0,157501805798,146414918033.0,146106458847.0,142861479553.0,137822616440.0,146537771265.0,147294278100.0,143402728321.0,149902879849.0,156948389593.0
3,01009789,코스맥스,192820,자산총계,1411928775762.0,1189042897954,1204354192976.0,1061541156258.0,934019128620.0,665916423820.0,438932111547.0,325701557295.0,,,
4,00102113,경인양행,012610,자산총계,579492465098.0,505102150581,472081003161.0,412996589313.0,357951470076.0,344298515205.0,326687437019.0,313039125204.0,316944796265.0,287452678155.0,319686463821.0
5,00168331,국동,005320,자산총계,168474550907.0,180700681914,133723726191.0,123134701589.0,106307079520.0,124126719682.0,93758552433.0,89271398213.0,73040608765.0,65808287067.0,68162304806.0
6,00153755,태양금속공업,004100,자산총계,447683663342.0,442253641495,390117739424.0,393144094415.0,377069520498.0,373071344784.0,370136181737.0,364383981559.0,364458391451.0,404649951586.0,338416980569.0
7,00612294,피엔티,137400,자산총계,576359315158.0,435428127687,500330953683.0,290894930591.0,240916842731.0,153479830541.0,101809215555.0,88074885075.0,72851669528.0,78439110178.0,53675067735.0
8,00129509,한익스프레스,014130,자산총계,374774839505.0,301687969270,275847243506.0,200104840234.0,188215329514.0,146825372860.0,131657889227.0,94846279069.0,85379982756.0,77986092838.0,83431553147.0
9,00210856,코아스,071950,자산총계,79299245941.0,73236024489,77314339353.0,78534356853.0,79069618324.0,76929028084.0,89438042582.0,101027896445.0,98569947265.0,103422937128.0,105316981901.0
10,01108099,현대코퍼레이션홀딩스,227840,자산총계,250984790560.0,216918775575,241419346296.0,188799168488.0,198540566269.0,210305385330.0,207608549901.0,,,,
11,00573579,평화산업,090080,자산총계,220115437716.0,203154749775,194159753902.0,178368752866.0,178292605042.0,165068412465.0,164280658396.0,161204693970.0,68160049760.0,69784966441.0,66945855941.0
12,00366137,KG ETS,151860,자산총계,3067463381624.0,2558371875406,433209372116.0,226025058989.0,206239630429.0,194930753255.0,193623047629.0,169514845760.0,174407630479.0,,
13,00168401,금비,008870,자산총계,337872961433.0,333972461086,260180107120.0,252892158482.0,247008400603.0,250604972013.0,231838030953.0,220865298884.0,209837389325.0,215481347820.0,215118770490.0
14,00117629,동양철관,008970,자산총계,185998127837.0,153374076509,164192039257.0,163635516093.0,150390663097.0,159775024974.0,177487701943.0,185811319439.0,216710572293.0,212256261665.0,200430665845.0
15,00138297,STX,011810,자산총계,676149000000.0,650840000000,560107000000.0,554061000000.0,627542000000.0,707709000000.0,1267224000000.0,1255002000000.0,1342520000000.0,5067029.0,5234175.0
16,00123107,보락,002760,자산총계,56317969213.0,54109128575,55616508700.0,53313420319.0,51828011512.0,53139579539.0,49528866331.0,51497215017.0,49687810061.0,49422088388.0,46455549130.0
17,00141389,영풍정밀,036560,자산총계,378311424461.0,326744254891,335021302894.0,336180443126.0,370657531515.0,361363620948.0,359058407518.0,347809872257.0,317563313820.0,331207496179.0,292543610601.0
18,00104999,윌비스,008600,자산총계,294073485577.0,284787599903,281045531513.0,304848694739.0,307930289011.0,341543712173.0,305011415955.0,245277934555.0,242724622685.0,235848619741.0,258346763422.0
19,00133812,세방,004360,자산총계,1245288419938.0,1164648377717,1115951890395.0,995908611163.0,953823779800.0,939792734784.0,918399831440.0,890754587272.0,900651213770.0,903191339236.0,908627879472.0
20,00158219,시그네틱스,033170,자산총계,182316018530.0,166745909058,182878840086.0,200399591876.0,233526543120.0,244631977293.0,223349209860.0,235922275904.0,250429986167.0,286152539708.0,250743436360.0
21,00115977,아이에스동서,010780,자산총계,3509755191942.0,3621499079699,2883776426203.0,2182677488650.0,2272169589590.0,2074372640321.0,1844766480239.0,1228484606385.0,1022389795482.0,1103203088032.0,973623948789.0
22,00400857,에이블씨엔씨,078520,자산총계,193817470072.0,254779586617,433666431730.0,388564220561.0,372155583631.0,277859818143.0,250540862953.0,228316961516.0,240197962348.0,235227820154.0,187955122956.0
23,00134477,SNT중공업,003570,자산총계,879625081379.0,833364508363,841373802156.0,845671572122.0,838427548584.0,890522083754.0,921662680320.0,914416684116.0,935742233230.0,1156625435297.0,1182293019537.0
24,00142661,우성,006980,자산총계,344617740768.0,313457406318,335926097691.0,282202976193.0,251426742115.0,245949756744.0,256515295365.0,275013700397.0,271093004618.0,293785485423.0,282306291614.0
25,00133991,세아특수강,019440,자산총계,651146310250.0,552376575225,573172966399.0,500036174880.0,527347712990.0,516822970419.0,500308873708.0,530110209821.0,486216680397.0,484959467931.0,474609645426.0
26,00152039,SG글로벌,001380,자산총계,187021454393.0,198865921890,204066347761.0,199625376276.0,197415490274.0,210143167628.0,203147147708.0,201184232475.0,196480576660.0,186004028992.0,188826231288.0
27,00155531,풍산홀딩스,005810,자산총계,1051956003593.0,975300449801,938630238588.0,879345785241.0,818457485598.0,762651033101.0,698530608337.0,677038411798.0,631124271871.0,600806036743.0,581445900641.0
28,00608802,텔콘RF제약,200230,자산총계,168029661150.0,185052608790,129486701057.0,181794659408.0,209642244575.0,118443619634.0,48154701037.0,47758587283.0,32195809352.0,,
29,00172228,엔케이,085310,자산총계,130726528202.0,140196785702,146944851790.0,206032323244.0,241293976704.0,252420279129.0,310948107565.0,324613902712.0,287996685445.0,414667374230.0,440135251590.0
30,00124090,한국특강,007280,자산총계,458713983250.0,352334774768,317480348904.0,344850091892.0,344112520192.0,355618046771.0,380263447237.0,500722555688.0,532912157941.0,553819260017.0,581437822707.0
31,00855093,선진,136490,자산총계,1209598038880.0,1119723429162,983329180416.0,917160519320.0,686844123544.0,543650884728.0,437278250497.0,383056315067.0,283542776652.0,,
32,00145686,이화산업,000760,자산총계,274828073002.0,283394472679,282716897421.0,287450244324.0,280830381296.0,277866085184.0,278297561718.0,273316937123.0,277575752057.0,276371921516.0,278185766782.0
33,00378628,KH바텍,060720,자산총계,381851259789.0,294887205322,283444245278.0,298635095837.0,320081205958.0,414589388528.0,455395701081.0,576287266289.0,444121495209.0,404287963111.0,366215887286.0
34,00176835,농우바이오,054050,자산총계,311048574941.0,301691666741,289864328942.0,264252672962.0,239907397434.0,221239049724.0,216946680011.0,216353815431.0,186925994701.0,163646180059.0,146699405808.0
35,00148948,조비,001550,자산총계,103778712983.0,87855328252,91685509979.0,94027701306.0,93468379865.0,88744853401.0,86659966828.0,83262172818.0,81378984628.0,,
36,00549891,케어젠,214370,자산총계,226759967922.0,216556145567,231847040571.0,218938147534.0,221822603101.0,230681994725.0,,,43970393951.0,,
37,00126478,삼성중공업,010140,자산총계,12138595961258.0,12922170785868,13600084435896.0,14282891986284.0,13818113112135.0,17217462678653.0,17301591987466.0,17122234082586.0,17427146525233.0,16634966575537.0,16413939003189.0
38,00134510,세종공업,033530,자산총계,1180100054496.0,1158750683420,996027850575.0,871007601480.0,900553567979.0,952518535473.0,914404459150.0,858809961341.0,697570395550.0,669607297984.0,637756160522.0
39,00823429,한국화장품,123690,자산총계,48508445747.0,75378061752,81307960199.0,95021031123.0,99397360290.0,99299898273.0,72898698969.0,91230282767.0,108902651025.0,113557331014.0,123346866756.0
40,00138729,아세아제지,002310,자산총계,969593253200.0,882326924993,848228967713.0,812379764128.0,766895048057.0,720959585385.0,654562230479.0,715736923126.0,715453347400.0,472881024860.0,458140728606.0
41,00132211,SUN&L,002820,자산총계,566176956589.0,528379078958,543553941107.0,625332075304.0,615266035619.0,577876289722.0,563581137354.0,523959616035.0,519216425438.0,454078035389.0,494311777752.0
42,00160375,진양폴리우레탄,010640,자산총계,48090926524.0,44798057577,43396757140.0,35008057720.0,35313762844.0,34846883901.0,19621522192.0,22024142606.0,23509501953.0,23919760568.0,24659735623.0
43,00121941,대상,001680,자산총계,2870530105668.0,2528335046890,2389611801046.0,2191537396279.0,2252431436486.0,2308460528264.0,2104598661650.0,1814827132158.0,1738880014841.0,1621341812646.0,1565601613039.0
44,00124726,빙그레,005180,자산총계,760245280571.0,764138445081,684922782174.0,653929092795.0,635622606558.0,623750932009.0,616988522405.0,578852361832.0,564293684908.0,,
