,고유번호,기업명,자산총계,부채총계,자본총계,당기순이익,연도
0,00102113,경인양행,579492465098,327622550348,251869914750,27210074941,2021
1,00103592,광동제약,883845298043,356600480140,527244817903,25540744737,2021
2,00104519,국보,102314951997,70471633267,31843318730,-17669052258,2021
3,00104786,미래아이앤지,99668333058,28587955823,71080377235,-18081302852,2021
4,00104999,윌비스,294073485577,183381461941,110692023636,-8532095509,2021
5,00109286,대동,1260639075992,874734548516,385904527476,34671963023,2021
6,00109693,DL,8322962606033,3792740553888,4530222052145,875038328844,2021
7,00113225,대한제강,1232437581471,512229905753,720207675718,163681147068,2021
8,00113535,대한해운,3859734558837,2341620168689,1518114390148,306589438251,2021
9,00115977,아이에스동서,3509755191942,2052891776603,1456863415339,110673223436,2021
10,00116268,동성제약,104581874040,58141479455,46440394585,-4312832259,2021
11,00117629,동양철관,185998127837,101850823126,84147304711,-3773151787,2021
12,00121941,대상,2870530105668,1623307568831,1247222536837,144949591853,2021
13,00122551,백산,330162573232,183147956688,147014616544,19134154250,2021
14,00122898,벽산,505440465430,215128919293,290311546137,-1495002759,2021
15,00123107,보락,56317969213,10774060414,45543908799,1694987553,2021
16,00124090,한국특강,458713983250,316723246212,141990737038,36783792499,2021
17,00124197,세아제강지주,2898999027652,1312346968538,1586652059114,226651777025,2021
18,00124726,빙그레,760245280571,202369499606,557875780965,-19327115194,2021
19,00126478,삼성중공업,12138595961258,8041328855444,4097267105814,-1452069565718,2021
20,00127158,씨아이테크,79538624907,31715497061,47823127846,-6235930125,2021
21,00127255,삼영화학공업,117674615660,67128160214,50546455446,3481128678,2021
22,00128971,DL건설,1669601207042,711709962529,957891244513,175561248492,2021
23,00129509,한익스프레스,374774839505,301259496387,73515343118,3915122397,2021
24,00132211,SUN&L,566176956589,397875440889,168301515700,-35296250239,2021
25,00133812,세방,1245288419938,348131642570,897156777368,52433874833,2021
26,00133991,세아특수강,651146310250,310772329491,340373980759,26765117383,2021
27,00134477,SNT중공업,879625081379,226675590424,652949490955,58998656478,2021
28,00134510,세종공업,1180100054496,777174141277,402925913219,-10771840981,2021
29,00134565,이스타코,82087856901,31761979271,50325877630,1497240167,2021
30,00136341,신성통상,898483605934,633484645106,264998960828,28809378507,2021
31,00138297,STX,676149000000,553619000000,122530000000,-23318000000,2021
32,00138729,아세아제지,969593253200,255172404299,714420848901,90996794516,2021
33,00140964,영원무역홀딩스,4325576166733,1170497824939,3155078341794,446829434889,2021
34,00141273,웰바이오텍,136826786107,103519878566,33306907541,-19631865532,2021
35,00141389,영풍정밀,378311424461,58462307947,319849116514,11755080055,2021
36,00141413,영화금속,211560372817,150705229837,60855142980,-18521148795,2021
37,00142661,우성,344617740768,172372494247,172245246521,-5842439821,2021
38,00144164,SK가스,5121535471833,3004172079944,2117363391889,249265884920,2021
39,00145598,이연제약,477978172163,232741035733,245237136430,5537251535,2021
40,00145686,이화산업,274828073002,41277511301,233550561701,59173837049,2021
41,00148948,조비,103778712983,50521009807,53257703176,1851220426,2021
42,00152039,SG글로벌,187021454393,64041656329,122979798064,-5550659560,2021
43,00152686,코리아써키트,1064620686323,412634244757,651986441566,72195705436,2021
44,00153755,태양금속공업,447683663342,355310135573,92373527769,-12264951851,2021
45,00155355,풀무원,1969372521092,1379581562516,589790958576,304155972,2021
46,00155531,풍산홀딩스,1051956003593,155681920444,896274083149,173751309228,2021
47,00156150,하이트론씨스템즈,47438063074,26722597103,20715465971,-13370991956,2021
48,00158149,한국쉘석유,165711579705,56156826918,109554752787,29045945812,2021
49,00158219,시그네틱스,182316018530,58822120328,123493898202,16991615719,2021
50,00159698,지역난방공사,6517362464357,4694183620876,1823178843481,21459011218,2021
51,00160375,진양폴리우레탄,48090926524,18619836523,29471090001,3802118983,2021
52,00164706,현대약품,163857416757,77257091879,86600324878,-3173176169,2021
53,00168331,국동,168474550907,66109970105,102364580802,-7948938059,2021
54,00168401,금비,337872961433,176002340792,161870620641,5165946247,2021
55,00171265,파라다이스,3471796250289,1957355763818,1514440486471,-78564040253,2021
56,00172228,엔케이,130726528202,28011921563,102714606639,11161953014,2021
57,00173944,우진,229794619014,70225425898,159569193116,-6164798405,2021
58,00176835,농우바이오,311048574941,67331820192,243716754749,6953223342,2021
59,00181299,상아프론테크,319566575046,137966529163,181600045883,9298652736,2021
60,00187415,코미팜,115261543395,42855825154,72405718241,-5934355768,2021
61,00210856,코아스,79299245941,60259190280,19040055661,-5265753179,2021
62,00228350,신화인터텍,175295772742,74879789523,100415983219,1122550180,2021
63,00260383,대한유화,2478873031267,449738749493,2029134281774,149935944614,2021
64,00292434,인트론바이오,153365407334,52016232592,101349174742,9728023597,2021
65,00300548,현대리바트,863648498521,374591023346,489057475175,13495394324,2021
66,00301246,SFA반도체,649395336516,223536653541,425858682975,55099304854,2021
67,00366137,KG ETS,3067463381624,1831557233163,1235906148461,192610284609,2021
68,00369170,인터플렉스,356224457260,176992311644,179232145616,-238986176,2021
69,00378628,KH바텍,381851259789,165261250770,216590009019,33108323624,2021
70,00400857,에이블씨엔씨,193817470072,79159922956,114657547116,-43362048445,2021
71,00406046,STX중공업,430406730156,276445468016,153961262140,-7828437540,2021
72,00413046,셀트리온,5697325665000,1623747845677,4073577819323,591408123315,2021
73,00414850,효성 ITX,241404764480,138085361213,103319403267,14388125433,2021
74,00453929,메디포스트,254093738594,91900308386,162193430208,-966419067,2021
75,00454946,그린케미칼,211689251240,88296552358,123392698882,15928806384,2021
76,00458234,아시아나IDT,222135981071,66556637647,155579343424,26361899660,2021
77,00549891,케어젠,226759967922,16965547103,209794420819,25184092612,2021
78,00573579,평화산업,220115437716,194125631930,25989805786,205128216,2021
79,00587457,갤럭시아머니트리,316916029802,207694904642,109221125160,-282266686,2021
80,00608802,텔콘RF제약,168029661150,61422015679,106607645471,-23206847983,2021
81,00612294,피엔티,576359315158,398652931080,177706384078,52703180758,2021
82,00632304,JW홀딩스,1065779475044,760956330503,304823144541,4434634082,2021
83,00648721,SNT에너지,332143487939,87294231899,244849256040,12503180650,2021
84,00823429,한국화장품,48508445747,26536427499,21972018248,-7281617879,2021
85,00828789,대성산업,1652414612585,1191520576364,460894036221,-38735161326,2021
86,00852087,시디즈,84805500508,23355362343,61450138165,12935477217,2021
