기업명,자산총계,부채총계,자본총계,당기순이익,연도
경인양행,5.79492E+11,3.27623E+11,2.5187E+11,27210074941,2021
광동제약,8.83845E+11,3.566E+11,5.27245E+11,25540744737,2021
국보,1.02315E+11,70471633267,31843318730,-17669052258,2021
미래아이앤지,99668333058,28587955823,71080377235,-18081302852,2021
윌비스,2.94073E+11,1.83381E+11,1.10692E+11,-8532095509,2021
대동,1.26064E+12,8.74735E+11,3.85905E+11,34671963023,2021
DL,8.32296E+12,3.79274E+12,4.53022E+12,8.75038E+11,2021
대한제강,1.23244E+12,5.1223E+11,7.20208E+11,1.63681E+11,2021
대한해운,3.85973E+12,2.34162E+12,1.51811E+12,3.06589E+11,2021
아이에스동서,3.50976E+12,2.05289E+12,1.45686E+12,1.10673E+11,2021
동성제약,1.04582E+11,58141479455,46440394585,-4312832259,2021
동양철관,1.85998E+11,1.01851E+11,84147304711,-3773151787,2021
대상,2.87053E+12,1.62331E+12,1.24722E+12,1.4495E+11,2021
백산,3.30163E+11,1.83148E+11,1.47015E+11,19134154250,2021
벽산,5.0544E+11,2.15129E+11,2.90312E+11,-1495002759,2021
보락,56317969213,10774060414,45543908799,1694987553,2021
한국특강,4.58714E+11,3.16723E+11,1.41991E+11,36783792499,2021
세아제강지주,2.899E+12,1.31235E+12,1.58665E+12,2.26652E+11,2021
빙그레,7.60245E+11,2.02369E+11,5.57876E+11,-19327115194,2021
삼성중공업,1.21386E+13,8.04133E+12,4.09727E+12,-1.45207E+12,2021
씨아이테크,79538624907,31715497061,47823127846,-6235930125,2021
삼영화학공업,1.17675E+11,67128160214,50546455446,3481128678,2021
DL건설,1.6696E+12,7.1171E+11,9.57891E+11,1.75561E+11,2021
한익스프레스,3.74775E+11,3.01259E+11,73515343118,3915122397,2021
SUN&L,5.66177E+11,3.97875E+11,1.68302E+11,-35296250239,2021
세방,1.24529E+12,3.48132E+11,8.97157E+11,52433874833,2021
세아특수강,6.51146E+11,3.10772E+11,3.40374E+11,26765117383,2021
SNT중공업,8.79625E+11,2.26676E+11,6.52949E+11,58998656478,2021
세종공업,1.1801E+12,7.77174E+11,4.02926E+11,-10771840981,2021
이스타코,82087856901,31761979271,50325877630,1497240167,2021
신성통상,8.98484E+11,6.33485E+11,2.64999E+11,28809378507,2021
STX,6.76149E+11,5.53619E+11,1.2253E+11,-23318000000,2021
아세아제지,9.69593E+11,2.55172E+11,7.14421E+11,90996794516,2021
영원무역홀딩스,4.32558E+12,1.1705E+12,3.15508E+12,4.46829E+11,2021
웰바이오텍,1.36827E+11,1.0352E+11,33306907541,-19631865532,2021
영풍정밀,3.78311E+11,58462307947,3.19849E+11,11755080055,2021
영화금속,2.1156E+11,1.50705E+11,60855142980,-18521148795,2021
우성,3.44618E+11,1.72372E+11,1.72245E+11,-5842439821,2021
SK가스,5.12154E+12,3.00417E+12,2.11736E+12,2.49266E+11,2021
이연제약,4.77978E+11,2.32741E+11,2.45237E+11,5537251535,2021
이화산업,2.74828E+11,41277511301,2.33551E+11,59173837049,2021
조비,1.03779E+11,50521009807,53257703176,1851220426,2021
SG글로벌,1.87021E+11,64041656329,1.2298E+11,-5550659560,2021
코리아써키트,1.06462E+12,4.12634E+11,6.51986E+11,72195705436,2021
태양금속공업,4.47684E+11,3.5531E+11,92373527769,-12264951851,2021
풀무원,1.96937E+12,1.37958E+12,5.89791E+11,304155972,2021
풍산홀딩스,1.05196E+12,1.55682E+11,8.96274E+11,1.73751E+11,2021
하이트론씨스템즈,47438063074,26722597103,20715465971,-13370991956,2021
한국쉘석유,1.65712E+11,56156826918,1.09555E+11,29045945812,2021
시그네틱스,1.82316E+11,58822120328,1.23494E+11,16991615719,2021
지역난방공사,6.51736E+12,4.69418E+12,1.82318E+12,21459011218,2021
진양폴리우레탄,48090926524,18619836523,29471090001,3802118983,2021
현대약품,1.63857E+11,77257091879,86600324878,-3173176169,2021
국동,1.68475E+11,66109970105,1.02365E+11,-7948938059,2021
금비,3.37873E+11,1.76002E+11,1.61871E+11,5165946247,2021
파라다이스,3.4718E+12,1.95736E+12,1.51444E+12,-78564040253,2021
엔케이,1.30727E+11,28011921563,1.02715E+11,11161953014,2021
우진,2.29795E+11,70225425898,1.59569E+11,-6164798405,2021
