,종목명,연도,누적수익률,종합등급,환경,사회,지배구조,코스피누적수익률,ROA,ROE,tobinQ
0,AJ네트웍스,2015,np.NAN,,,,,2.619180850599334,1.6804465047068269,7.283971056075958,1.01224714924351
1,AJ네트웍스,2016,-16.696604214681077,3.0,2.0,3.0,3.0,0.2444370489387726,0.8205952599125783,3.995265191365773,0.7560368083606073
2,AJ네트웍스,2017,-21.11600115237536,3.0,3.0,3.0,3.0,14.838077441389274,0.8770233643510811,4.617270135889605,0.7197384966157003
3,AJ네트웍스,2018,-15.324072500773934,3.0,2.0,3.0,3.0,17.010851881707566,1.447255303925629,7.5779256342337,0.5743877823710144
4,AJ네트웍스,2019,-27.94536701833392,3.0,1.0,3.0,3.0,-8.843387933206737,2.3362524478455096,12.128880691607344,0.6513847018668706
5,AJ네트웍스,2020,-37.50319295527726,3.0,1.0,3.0,3.0,-4.513590962862269,-0.2088448586135612,-1.1516396450427029,0.5568949806067948
6,AJ네트웍스,2021,9.588107856874451,3.0,1.0,3.0,3.0,47.72737409420227,5.663071279879297,21.168275198460528,0.6961865704474475
7,AK홀딩스,2011,60.8814809585162,3.0,3.0,3.0,3.0,np.NAN,7.114244756703644,16.162158048561388,0.7131628337292539
8,AK홀딩스,2012,69.73929014205491,3.0,2.0,3.0,4.0,-2.7295646259277606,7.089950300318875,10.640607011927186,0.5197828183648966
9,AK홀딩스,2013,115.8010021591139,3.0,2.0,3.0,3.0,-1.211480701073464,4.560521180057001,17.05645130868497,0.5831250211460438
10,AK홀딩스,2014,303.5420510292733,3.0,2.0,3.0,3.0,2.682664416041347,3.400244441582541,11.401762379081038,1.0134135366956798
11,AK홀딩스,2015,175.96402021987063,3.0,2.0,3.0,3.0,2.619180850599334,-1.5004142367767803,-4.152987343264847,1.1468843095439394
12,AK홀딩스,2016,-0.551513824247607,3.0,3.0,3.0,3.0,0.2444370489387726,4.862324654509031,13.181689370990588,0.7775503037903643
13,AK홀딩스,2017,-23.06957540135749,3.0,3.0,3.0,3.0,14.838077441389274,6.296352992849194,16.09407185565825,0.7612050650994149
14,AK홀딩스,2018,16.293360107858067,3.0,2.0,3.0,3.0,17.010851881707566,6.080770456255083,14.01863963401877,0.6083733959566578
15,AK홀딩스,2019,-32.460765852076335,3.0,2.0,3.0,3.0,-8.843387933206737,1.3573669917416002,4.058074650826964,0.3842305735309437
16,AK홀딩스,2020,-68.32795426699941,4.0,2.0,4.0,4.0,-4.513590962862269,-6.365724943785217,-20.93281638817854,0.2043408079924018
17,AK홀딩스,2021,-35.49278484648152,4.0,3.0,4.0,4.0,47.72737409420227,-4.38200915499081,-16.577911569419353,0.3010848016254242
18,BGF,2014,np.NAN,,,,,2.682664416041347,7.580842606948579,17.736472096392912,2.8502203845676943
19,BGF,2015,124.6842635516324,,,,,2.619180850599334,9.425209769155234,19.75407667977032,4.918278111592539
20,BGF,2016,189.54393142092297,3.0,3.0,4.0,3.0,0.2444370489387726,9.627612102590346,19.59528962939263,4.793007238511565
21,BGF,2017,25.9683367168468,3.0,3.0,5.0,3.0,14.838077441389274,407.6214314896464,482.31192478585126,5.192744466899429
22,BGF,2018,-79.24074269924175,,3.0,,,17.010851881707566,2.905136014982552,3.1143042414613875,0.5752584166282493
23,BGF,2019,-86.49569716529302,3.0,2.0,5.0,3.0,-8.843387933206737,1.0568050841101555,1.1460976532470626,0.428040703384799
24,BGF,2020,-59.39840196093884,4.0,3.0,5.0,4.0,-4.513590962862269,1.078332313414209,1.1632921774847595,0.2584340981424994
25,BGF,2021,-11.513718159667452,5.0,5.0,6.0,5.0,47.72737409420227,1.815534344914652,2.076280512947056,0.339396309825925
26,BNK금융지주,2011,np.NAN,,,,,np.NAN,,,
27,BNK금융지주,2012,-8.937456389171828,5.0,6.0,5.0,3.0,-2.7295646259277606,,,
28,BNK금융지주,2013,12.07140438398997,4.0,5.0,5.0,3.0,-1.211480701073464,,,
29,BNK금융지주,2014,31.267377183406108,5.0,6.0,5.0,3.0,2.682664416041347,,,
30,BNK금융지주,2015,-6.031391983667344,5.0,6.0,5.0,3.0,2.619180850599334,,,
31,BNK금융지주,2016,-41.686464426384674,5.0,6.0,4.0,3.0,0.2444370489387726,,,
32,BNK금융지주,2017,-27.29448248040828,4.0,3.0,5.0,4.0,14.838077441389274,,,
33,BNK금융지주,2018,4.223694755698504,4.0,4.0,4.0,3.0,17.010851881707566,,,
