종목명,연도,수익률,종합등급,환경,사회,지배구조,KOSPI,ROA,ROE
AJ네트웍스,2015,,,,,,2011.8487494684034,1.6804465047068269,7.283971056075958
AJ네트웍스,2016,-16.696604214681077,B,C,B,B,1987.0032527272294,0.8205952599125783,3.995265191365773
AJ네트웍스,2017,-5.3051822150005705,B,B,B,B,2310.368424918147,0.8770233643510811,4.617270135889605
AJ네트웍스,2018,-10.58018856799622,B,C,B,B,2325.0094329333697,1.447255303925629,7.5779256342337
AJ네트웍스,2019,-19.41983344881292,B,D,B,B,2106.053582416317,2.3362524478455096,12.128880691607344
AJ네트웍스,2020,-22.441452134474314,B,D,B,B,2220.068017282794,-0.2088448586135612,-1.1516396450427029
AJ네트웍스,2021,41.29726622381196,B,D,B,B,3111.2176543205014,5.663071279879297,21.168275198460528
AK홀딩스,2011,60.8814809585162,B,B,B,B,1984.5420603887271,7.114244756703644,16.162158048561388
AK홀딩스,2012,5.505797889704112,B,C,B,B+,1930.3727023216986,7.089950300318875,10.640607011927186
AK홀딩스,2013,104.53947221432564,B,C,B,B,1960.4997163224316,4.560521180057001,17.05645130868497
AK홀딩스,2014,97.29299516644096,B,C,B,B,1982.1581239038585,3.400244441582541,11.401762379081038
AK홀딩스,2015,39.87522465613185,B,C,B,B,2011.8487494684034,-1.5004142367767803,-4.152987343264847
AK홀딩스,2016,-28.902000750857937,B,B,B,B,1987.0032527272294,4.862324654509031,13.181689370990588
AK홀딩스,2017,8.203360728988196,B,B,B,B,2310.368424918147,6.296352992849194,16.09407185565825
AK홀딩스,2018,7.476661837826382,B,C,B,B,2325.0094329333697,6.080770456255083,14.01863963401877
AK홀딩스,2019,-37.15916274936514,B,C,B,B,2106.053582416317,1.3573669917416002,4.058074650826964
AK홀딩스,2020,-49.59958027503745,B+,C,B+,B+,2220.068017282794,-6.365724943785217,-20.93281638817854
AK홀딩스,2021,27.989440376761475,B+,B,B+,B+,3111.2176543205014,-4.38200915499081,-16.577911569419353
BGF,2014,,,,,,1982.1581239038585,7.580842606948579,17.736472096392912
BGF,2015,124.6842635516324,,,,,2011.8487494684034,9.425209769155234,19.75407667977032
BGF,2016,28.867027376123232,B,B,B+,B,1987.0032527272294,9.627612102590346,19.59528962939263
BGF,2017,-2.2493656587701416,B,B,A,B,2310.368424918147,407.6214314896464,482.31192478585126
BGF,2018,-78.7630459478233,E,B,E,E,2325.0094329333697,2.905136014982552,3.1143042414613875
BGF,2019,-36.4113007848089,B,C,A,B,2106.053582416317,1.0568050841101555,1.1460976532470626
BGF,2020,-36.149664106729205,B+,B,A,B+,2220.068017282794,1.078332313414209,1.1632921774847595
BGF,2021,38.58389404284739,A,A,A+,A,3111.2176543205014,1.8155343449146517,2.076280512947056
BNK금융지주,2011,,,,,,1984.5420603887271, , 
BNK금융지주,2012,-8.937456389171828,A,A+,A,B,1930.3727023216986, , 
BNK금융지주,2013,23.070803801557396,B+,A,A,B,1960.4997163224316, , 
BNK금융지주,2014,6.660047004377323,A,A+,A,B,1982.1581239038585, , 
BNK금융지주,2015,-11.898962492979038,A,A+,A,B,2011.8487494684034, , 
BNK금융지주,2016,-33.81061424053242,A,A+,B+,B,1987.0032527272294, , 
BNK금융지주,2017,9.844677791396617,B+,B,A,B+,2310.368424918147, , 
BNK금융지주,2018,-5.1172101814279785,B+,B+,B+,B,2325.0094329333697, , 
BNK금융지주,2019,-22.95171368021377,A+,B+,A+,A+,2106.053582416317, , 
BNK금융지주,2020,-22.461401178525144,A+,B+,A+,A+,2220.068017282794, , 
BNK금융지주,2021,36.54410015191172,A+,A,A+,A+,3111.2176543205014, , 
BYC,2011,8.113886183139375,B,B,B,B,1984.5420603887271,4.523016821020184,7.000050772578578
BYC,2012,10.926699680181562,B,C,B,B,1930.3727023216986,5.343017792856635,8.101643639953
BYC,2013,13.61365861253583,B,B,B,B,1960.4997163224316,2.9542903363809754,4.459085287083575
BYC,2014,21.792063727363885,B,C,B,B,1982.1581239038585,3.131259543558755,5.21309959635194
BYC,2015,49.16520757133856,B,C,B,B,2011.8487494684034,1.902937158264812,3.479908446890466
BYC,2016,32.910444412032014,B,C,B,B,1987.0032527272294,2.3932910064897737,4.454288975716832
BYC,2017,-24.99198688247209,B,B,B,B,2310.368424918147,0.830016660530705,1.550178796313643
BYC,2018,-24.58214124845289,B,B+,B,B,2325.0094329333697,1.2313192305217444,2.231803943568353
BYC,2019,-10.95260955274493,B,C,B+,B+,2106.053582416317,4.004847449626627,6.398156391543594
BYC,2020,-6.538879491264316,B,D,B,B+,2220.068017282794,2.6924139153740345,4.0394109054166645
BYC,2021,76.62721094558711,B,D,B,B+,3111.2176543205014,4.362066620985486,6.1964984276878265
CJ CGV,2011,8.125553449711976,B,B,B,E,1984.5420603887271,3.495811569946191,10.602063221785608
CJ CGV,2012,3.527493811742355,B,B,B,B,1930.3727023216986,1.4848336611439623,4.300831230036704
CJ CGV,2013,72.21088988636839,B,B,B,B,1960.4997163224316,1.1037228590459058,3.204122344939987
CJ CGV,2014,4.1935146727615,B,C,B+,B,1982.1581239038585,1.2765644781323209,4.095273736902835
CJ CGV,2015,93.72866325733746,B,B,B,B,2011.8487494684034,3.682284828449653,11.725681747221726
CJ CGV,2016,-1.539069781717084,B,C,B+,B,1987.0032527272294,0.2211708226548878,0.6107307718551286
CJ CGV,2017,-23.33191842500222,B,B+,B+,B,2310.368424918147,0.4079657473685485,1.29058145552977
CJ CGV,2018,-17.60396222230395,B+,A,B+,B,2325.0094329333697,-8.438916351835182,-34.26271244324038
CJ CGV,2019,-36.68464664354072,B+,B,B+,A,2106.053582416317,-5.284546224377695,-39.77231930673933
CJ CGV,2020,-41.25679079818943,A,B,A,A,2220.068017282794,-17.260003076255582,-261.0931950075335
CJ CGV,2021,27.47446018766926,A,B,A,A,3111.2176543205014,-8.949641769876678,-112.4475475217933
CJ,2011,7.6321454713637715,B,B+,B,E,1984.5420603887271,4.05230881155751,10.530424763283364
CJ,2012,11.383461149172124,B,B,B,B,1930.3727023216986,3.44235323005812,8.780337974822707
CJ,2013,38.92098155706015,B+,B,A,B,1960.4997163224316,1.458202137160006,3.750847426324686
CJ,2014,21.455353609740847,B+,B,A,B+,1982.1581239038585,2.207674402834684,5.607940258658324
CJ,2015,59.90694548355473,B+,B,A,B+,2011.8487494684034,2.338987311827809,5.587448714076632
CJ,2016,-11.467562308867018,B+,B+,A,B+,1987.0032527272294,2.1097077935985324,5.063094127544123
CJ,2017,-11.050265812752002,A,A,A,B,2310.368424918147,3.879671118078869,9.4872615214201
CJ,2018,-20.570299371441912,A,A,A+,B,2325.0094329333697,2.7735259891743547,7.027955709130778
CJ,2019,-19.879162507287973,A,B,A+,A,2106.053582416317,0.8019610537285738,2.215812076633682
