year,수익률,종목명
2015,,AJ네트웍스
2016,-16.696604214681077,AJ네트웍스
2017,-5.3051822150005705,AJ네트웍스
2018,-10.580188567996219,AJ네트웍스
2019,-19.419833448812916,AJ네트웍스
2020,-22.441452134474314,AJ네트웍스
2021,41.29726622381196,AJ네트웍스
2022,0.5957396637099821,AJ네트웍스
2010,,AK홀딩스
2011,60.8814809585162,AK홀딩스
2012,5.5057978897041115,AK홀딩스
2013,104.53947221432563,AK홀딩스
2014,97.29299516644095,AK홀딩스
2015,39.87522465613185,AK홀딩스
2016,-28.902000750857937,AK홀딩스
2017,8.203360728988196,AK홀딩스
2018,7.476661837826382,AK홀딩스
2019,-37.15916274936514,AK홀딩스
2020,-49.59958027503745,AK홀딩스
2021,27.989440376761475,AK홀딩스
2022,-29.092067910982678,AK홀딩스
2014,,BGF
2015,124.6842635516324,BGF
2016,28.867027376123232,BGF
2017,-2.2493656587701416,BGF
2018,-78.7630459478233,BGF
2019,-36.4113007848089,BGF
2020,-36.149664106729205,BGF
2021,38.58389404284739,BGF
2022,-17.79523151988853,BGF
2011,,BNK금융지주
2012,-8.937456389171828,BNK금융지주
2013,23.070803801557393,BNK금융지주
2014,6.660047004377323,BNK금융지주
2015,-11.898962492979038,BNK금융지주
2016,-33.81061424053242,BNK금융지주
2017,9.844677791396617,BNK금융지주
2018,-5.1172101814279785,BNK금융지주
2019,-22.95171368021377,BNK금융지주
2020,-22.461401178525144,BNK금융지주
2021,36.54410015191172,BNK금융지주
2022,8.01085465703033,BNK금융지주
2010,,BYC
2011,8.113886183139375,BYC
2012,10.926699680181562,BYC
2013,13.61365861253583,BYC
2014,21.792063727363885,BYC
2015,49.165207571338556,BYC
2016,32.910444412032014,BYC
2017,-24.991986882472094,BYC
2018,-24.582141248452892,BYC
2019,-10.95260955274493,BYC
2020,-6.538879491264316,BYC
2021,76.62721094558711,BYC
2022,17.924949359700637,BYC
2010,,CJ CGV
2011,8.125553449711976,CJ CGV
2012,3.527493811742355,CJ CGV
2013,72.21088988636839,CJ CGV
2014,4.1935146727615,CJ CGV
2015,93.72866325733746,CJ CGV
2016,-1.539069781717084,CJ CGV
2017,-23.33191842500222,CJ CGV
2018,-17.60396222230395,CJ CGV
2019,-36.68464664354072,CJ CGV
2020,-41.25679079818943,CJ CGV
2021,27.47446018766926,CJ CGV
2022,-13.362008965647354,CJ CGV
2010,,CJ
2011,7.6321454713637715,CJ
2012,11.383461149172124,CJ
2013,38.920981557060145,CJ
2014,21.455353609740847,CJ
2015,59.90694548355473,CJ
2016,-11.467562308867018,CJ
2017,-11.050265812752002,CJ
2018,-20.570299371441912,CJ
2019,-19.879162507287973,CJ
2020,-19.706242831030064,CJ
2021,19.605549710035007,CJ
2022,-17.10588768357826,CJ
2010,,CJ대한통운
2011,45.792846137437124,CJ대한통운
2012,-5.535854749900071,CJ대한통운
2013,13.023995713109016,CJ대한통운
2014,41.1006379195749,CJ대한통운
2015,32.67919138292248,CJ대한통운
2016,8.276196043461436,CJ대한통운
2017,-17.28197822224793,CJ대한통운
2018,-10.166269518679316,CJ대한통운
2019,3.2233427927715885,CJ대한통운
2020,-1.2194451905936377,CJ대한통운
2021,6.910968688973651,CJ대한통운
2022,-23.273465869351462,CJ대한통운
2010,,CJ씨푸드
2011,20.908199528190075,CJ씨푸드
2012,-4.690788038314553,CJ씨푸드
2013,-0.6064413911541333,CJ씨푸드
2014,-5.244324646566323,CJ씨푸드
2015,36.241041117461535,CJ씨푸드
2016,-1.1771737010638161,CJ씨푸드
2017,-6.655359616378787,CJ씨푸드
2018,-15.321642615246967,CJ씨푸드
2019,1.0379000766239876,CJ씨푸드
2020,45.50900344173918,CJ씨푸드
2021,9.551944114537147,CJ씨푸드
2022,-13.072812490670804,CJ씨푸드
2010,,CJ제일제당
2011,17.88593669112131,CJ제일제당
2012,23.635873541530273,CJ제일제당
2013,-8.128006694215406,CJ제일제당
2014,10.179921163792693,CJ제일제당
2015,16.98559898171814,CJ제일제당
2016,-1.4564260585315236,CJ제일제당
2017,-3.73153250305589,CJ제일제당
2018,-6.168793630716363,CJ제일제당
2019,-17.478119480243983,CJ제일제당
2020,15.291123932113582,CJ제일제당
2021,30.805925649864907,CJ제일제당
2022,-13.56135827267072,CJ제일제당
